Id,Year,Post,SDG_0,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
CRI_67_2012,2012,Minister for Foreign Affairs,0.0008099047117866576,0.0006806195597164333,0.0005527685862034559,0.00029244678444229066,0.0006498228176496923,0.0011312373680993915,0.0003331585321575403,0.00042465218575671315,0.00029459461802616715,0.00042544465395621955,0.0007171762990765274,0.0006701895617879927,0.0007834428688511252,0.0003483261971268803,0.00046150278649292886,0.0006382022984325886,0.9907864928245544
CHN_67_2012,2012,Minister for Foreign Affairs,0.0009886383777484298,0.0010704073356464505,0.0008619597065262496,0.0004308735951781273,0.001080019399523735,0.0018185933586210012,0.0005183374159969389,0.0005556530086323619,0.000402232602937147,0.0007084139506332576,0.001375530380755663,0.0009419239358976483,0.0008902376866899431,0.00044979379163123667,0.0006497576832771301,0.0008896617800928652,0.9863680005073547
LSO_67_2012,2012,Prime Minister,0.0007057595066726208,0.0006736999494023621,0.0004704132443293929,0.0003084013005718589,0.0006499287555925548,0.000954435090534389,0.00032756809378042817,0.00033871675259433687,0.00028659033705480397,0.00046689758892171085,0.0007353386608883739,0.0006266170530579984,0.0006846548058092594,0.0002892203920055181,0.0004831429396290332,0.0006503615295514464,0.9913483262062073
BLZ_67_2012,2012,Minister for Foreign Affairs,0.0006698904326185584,0.0006789649487473071,0.0005689632962457836,0.00036150647792965174,0.0007147371652536094,0.0011126886820420623,0.000393308320781216,0.0004058250051457435,0.0003158962063025683,0.0004608242597896606,0.0007549931760877371,0.000719539588317275,0.0009672403684817255,0.0003470766532700509,0.0005671896506100893,0.0007956018089316785,0.990165650844574
ARE_67_2012,2012,Minister for Foreign Affairs,0.0007232995121739805,0.0007310317014344037,0.0005190427182242274,0.0003619400958996266,0.000803551112767309,0.0011648706858977675,0.0003926133213099092,0.0003977722371928394,0.0002978365228045732,0.0004664114967454225,0.0007085908437147737,0.000685273960698396,0.0007896923343650997,0.00029843731317669153,0.0005267935339361429,0.0006485763587988913,0.990484356880188
LVA_67_2012,2012,President,0.0007107960409484804,0.0006868897471576929,0.000526350166182965,0.0003629679267760366,0.0007050809799693525,0.0010282743023708463,0.00037188283749856055,0.0003772167838178575,0.00028825001209042966,0.0005051212501712143,0.000660967780277133,0.0006152492132969201,0.0007375488057732582,0.0003061749448534101,0.0005229957168921828,0.0007241712883114815,0.99086993932724
TCD_67_2012,2012,Minister for Foreign Affairs,0.000656997668556869,0.0007321360753849149,0.0005606489721685648,0.00033648256794549525,0.000667248445097357,0.0010493136942386627,0.00031502850470133126,0.00035525899147614837,0.0003131441189907491,0.0004456352035049349,0.0007163420086726546,0.0005487073212862015,0.0006557829328812659,0.0002718972973525524,0.0004600252432283014,0.0006359352264553308,0.9912794232368469
KIR_67_2012,2012,Head of Government,0.0008524949662387371,0.004579715430736542,0.004613804165273905,0.0009747424628585577,0.001528236665762961,0.0023976927623152733,0.003423407906666398,0.009069462306797504,0.0018451078794896603,0.0011773487785831094,0.0025734086520969868,0.001953146420419216,0.0029507118742913008,0.9543390870094299,0.0016184194246307015,0.004183303564786911,0.0019200023962184787
ITA_67_2012,2012,Prime Minister,0.0009321054676547647,0.0007531255832873285,0.0005710371769964695,0.0003518618468660861,0.0007908586412668228,0.001065082149580121,0.00038798857713118196,0.00040365997119806707,0.00032264768378809094,0.0005872274050489068,0.0008089789189398289,0.0006942658801563084,0.000821796478703618,0.0003531050751917064,0.0005256723961792886,0.0006231495062820613,0.9900075197219849
AGO_67_2012,2012,UN Representative,0.0007756897830404341,0.0007441319175995886,0.0005553034134209156,0.00035868576378561556,0.0008420398808084428,0.0010871193371713161,0.0003798954130616039,0.00041079154470935464,0.0003438049170654267,0.0005322860088199377,0.0007640787516720593,0.0006686727283522487,0.0007376027060672641,0.00034264815622009337,0.0005420793895609677,0.0007129192817956209,0.9902021884918213
